lid,city,state
1     ,"Abington Township","PA"
2     ,"Abington","PA"
3     ,"Affton","MO"
4     ,"Aldan","PA"
5     ,"Alton","IL"
6     ,"Ambler","PA"
7     ,"Antioch","TN"
8     ,"Apollo Beach","FL"
9     ,"Arabi","LA"
10    ,"Ardmore","PA"
11    ,"Arnold","MO"
12    ,"Ashland City","TN"
13    ,"Ashland","TN"
14    ,"Aston","PA"
15    ,"Atco","NJ"
16    ,"Audubon ","NJ"
17    ,"Audubon","NJ"
18    ,"Audubon","PA"
19    ,"Avon","IN"
20    ,"Avondale","LA"
21    ,"Avondale","PA"
22    ,"Bala Cynwyd","PA"
23    ,"Ballwin","MO"
24    ,"Balm","FL"
25    ,"Bargersville","IN"
26    ,"Barrington","NJ"
27    ,"Beaumont","AB"
28    ,"Beech Grove","IN"
29    ,"Belle Chase","LA"
30    ,"Belle Chasse","LA"
31    ,"Belle Meade","TN"
32    ,"Belleair Blf","FL"
33    ,"Belleair Bluffs","FL"
34    ,"Belleville","IL"
35    ,"Bellevue","TN"
36    ,"Bellmawr","NJ"
37    ,"Bellville","IL"
38    ,"Belmont Hills","PA"
39    ,"Bensalem","PA"
40    ,"Berkeley","MO"
41    ,"Berlin Township","NJ"
42    ,"Berlin","NJ"
43    ,"Berry Hill","TN"
44    ,"Berwyn","PA"
45    ,"Bethalto","IL"
46    ,"Bethel Township","PA"
47    ,"Bethel","PA"
48    ,"Beverly","NJ"
49    ,"Birchrunville","PA"
50    ,"Blackwood","NJ"
51    ,"Blue Bell","PA"
52    ,"Blvd","MO"
53    ,"Boise City","ID"
54    ,"Boise","ID"
55    ,"Boone","NC"
56    ,"Boothwyn","PA"
57    ,"Bordentown","NJ"
58    ,"Boyertown","PA"
59    ,"Brandon","FL"
60    ,"Breckenridge Hills","MO"
61    ,"Brentwood","MO"
62    ,"Brentwood","TN"
63    ,"Bridge City","LA"
64    ,"Bridgeport","PA"
65    ,"Bridgeton","MO"
66    ,"Bristol Twp","PA"
67    ,"Bristol","PA"
68    ,"Brookhaven","PA"
69    ,"Brooklawn","NJ"
70    ,"Broomall","PA"
71    ,"Brownsburg","IN"
72    ,"Bryn Athyn","PA"
73    ,"Bryn Mawr","PA"
74    ,"Buckingham","PA"
75    ,"Bucks","PA"
76    ,"Burlington Township","NJ"
77    ,"Burlington","NJ"
78    ,"Bywater","LA"
79    ,"CLEARWATER","FL"
80    ,"Cahokia","IL"
81    ,"Camby","IN"
82    ,"Camden","NJ"
83    ,"Carmel","IN"
84    ,"Carneys Point","NJ"
85    ,"Carpinteria","CA"
86    ,"Carrollwood","FL"
87    ,"Carversville","PA"
88    ,"Caseyville","IL"
89    ,"Castleton","IN"
90    ,"Catalina","AZ"
91    ,"Cedar Brook","NJ"
92    ,"Cedarbrook","NJ"
93    ,"Chadds Ford","PA"
94    ,"Chalfont","PA"
95    ,"Chalmette","LA"
96    ,"Cheltenham Township","PA"
97    ,"Cheltenham","PA"
98    ,"Cherry Hill","NJ"
99    ,"Chesilhurst","NJ"
100   ,"Chester Springs","PA"
101   ,"Chester","PA"
102   ,"Chesterbrook","PA"
103   ,"Chesterfield","MO"
104   ,"Christiana","DE"
105   ,"Cinnaminson","NJ"
106   ,"Clarksboro","NJ"
107   ,"Claymont","DE"
108   ,"Clayton","MO"
109   ,"Clayton","NJ"
110   ,"Clearwater Beach","FL"
111   ,"Clearwater","FL"
112   ,"Clementon","NJ"
113   ,"Clermont","IN"
114   ,"Clifton Heights","PA"
115   ,"Coatesville","PA"
116   ,"Collegeville","PA"
117   ,"Collingdale","PA"
118   ,"Collingswood","NJ"
119   ,"Collinsville","IL"
120   ,"Colmar","PA"
121   ,"Columbia","IL"
122   ,"Columbus","NJ"
123   ,"Concord Township","PA"
124   ,"Concordville","PA"
125   ,"Conshohocken","PA"
126   ,"Cornwells Heights","PA"
127   ,"Crestwood","MO"
128   ,"Creve Coeur","MO"
129   ,"Croydon","PA"
130   ,"Crum Lynne","PA"
131   ,"Danville","IN"
132   ,"Darby","PA"
133   ,"Delanco","NJ"
134   ,"Delran","NJ"
135   ,"Deptford Township","NJ"
136   ,"Deptford","NJ"
137   ,"Des Peres","MO"
138   ,"Devon","PA"
139   ,"Dover","FL"
140   ,"Downingtown","PA"
141   ,"Doylestown","PA"
142   ,"Dresher","PA"
143   ,"Drexel Hill","PA"
144   ,"Dublin","PA"
145   ,"Dunedin","FL"
146   ,"Dupo","IL"
147   ,"Eagle","ID"
148   ,"Eagleville","PA"
149   ,"Earth City","MO"
150   ,"East Alton","IL"
151   ,"East Greenville","PA"
152   ,"East Lansdowne","PA"
153   ,"East Nashville","TN"
154   ,"East Norriton","PA"
155   ,"East Saint Louis","IL"
156   ,"East St. Louis","IL"
157   ,"Eastampton Township","NJ"
158   ,"Eastampton","NJ"
159   ,"Eaux Claires","AB"
160   ,"EdMonton","AB"
161   ,"Eddystone","PA"
162   ,"Edgewater Park","NJ"
163   ,"Edmonton","AB"
164   ,"Edwardsville","IL"
165   ,"Elk Township","NJ"
166   ,"Elkins Park","PA"
167   ,"Elmer","NJ"
168   ,"Elsmere","DE"
169   ,"Elverson","PA"
170   ,"Essington","PA"
171   ,"Evesham Township","NJ"
172   ,"Evesham","NJ"
173   ,"Ewing Township","NJ"
174   ,"Ewing","NJ"
175   ,"Exton","PA"
176   ,"Fairless Hills","PA"
177   ,"Fairview Heights","IL"
178   ,"Fairview Hts","IL"
179   ,"Fairview Hts.","IL"
180   ,"Feasterville Trevose","PA"
181   ,"Feasterville","PA"
182   ,"Feasterville-Trevose","PA"
183   ,"Fenton","MO"
184   ,"Ferguson","MO"
185   ,"Fishers","IN"
186   ,"Flanders","NJ"
187   ,"Florence Township","NJ"
188   ,"Florence","NJ"
189   ,"Florissant","MO"
190   ,"Flourtown","PA"
191   ,"Folcroft","PA"
192   ,"Folsom","PA"
193   ,"Fort Washington","PA"
194   ,"Franconia","PA"
195   ,"Franklin","IN"
196   ,"Franklin","TN"
197   ,"Franklinville","NJ"
198   ,"Frazer","PA"
199   ,"Freeburg","IL"
200   ,"Frontenac","MO"
201   ,"Furlong","PA"
202   ,"Gallatin","TN"
203   ,"Garden City","ID"
204   ,"Garnet Valley","PA"
205   ,"Gibbsboro","NJ"
206   ,"Gibbstown","NJ"
207   ,"Gibsonton","FL"
208   ,"Gilbertsville","PA"
209   ,"Gladwyne","PA"
210   ,"Glassboro","NJ"
211   ,"Glen Carbon","IL"
212   ,"Glen Mills","PA"
213   ,"Glendale","MO"
214   ,"Glendora","NJ"
215   ,"Glenmoore","PA"
216   ,"Glenoldan","PA"
217   ,"Glenolden","PA"
218   ,"Glenside","PA"
