pid,rowNum,caption,label
"""zsvj7vloL4L5jhYyPIuVwg""",1,Nice rock artwork everywhere and craploads of taps.,inside
"""pve7D6NUrafHW3EAORubyw""",2,Shrimp scampi,food
"""foJzmWwl8WlC3xi-QQDRgg""",3,Small portion of the back patio,outside
"""6LJa8QZOGBjt9maE5miLhw""",4,Drive-thru menu,menu
"""e0dD0np3hY3F8LoUtrNoPw""",5,These cream filled donuts can't be beat!  Cream in every bite guaranteed :),food
"""xiyqMEgTl4B4ux047E_zqw""",6,Piedmont Salad--serious yum factor,food
"""K33aWlzEqKjuZFjdEuBOAA""",7,NULL,food
"""0hhqi5rESZrXw3rJTrJ1gw""",8,Bulgogi steak tacos. Delicious!!!,food
"""XnStHMYUJEnb2t-6gCB6Hg""",9,Lamb Chops,food
"""iham6y34EzijhaUrDfCyEQ""",10,This was the shareable drink called One Big Swizzle! So fun!!,food
"""2umAMd6B-CJocU-62YikVA""",11,Unique Atmosphere,inside
"""UEwMittQNRLc9956JjphpQ""",12,Comfy booths and chairs,inside
"""KKvlBZUqxW3yELiFd3PVzQ""",13,Dinner,food
"""-kDGc-WTDMjZp6AGgVErVg""",14,NULL,outside
"""Kw4cqVChYxm4mSxAimHiNA""",15,Inside seating,inside
"""xPLr2BA5xce4JYSe4aXnpw""",16,NULL,food
"""ZFnOsg5eUciav5ltpxbxPA""",17,Look at the size of this sandwich !,food
"""651bNRdUW2f5_zv_3sJ-VQ""",18,NULL,food
"""oG0ECMHx6OYjIE9JyLDjYA""",19,NULL,inside
"""9Wkj-Vl5EYLS6OIy4EYigw""",20,NULL,food
"""EeFlax7UCEI8Xrf3k27EQA""",21,NULL,food
"""rCHcbJ2NcwvsHzH1CFzyEw""",22,Pork Shank,food
"""vQ4f78kbIvE52xZBMKi65w""",23,NULL,inside
"""6KSLM-fapsQjVouRqOXPYA""",24,NULL,food
"""RXtykJb7KIXHySXJJnlFfg""",25,NULL,inside
"""a6dI4KTrWTnRZiglh62gKA""",26,Holey Donuts,food
"""tdqcGXATfpCeG7VXtsJhbQ""",27,NULL,food
"""5seJSqnKEFLgHUx869n1ug""",28,"Sisig, pancit, and lumpia! The first of many plates!",food
"""pRnGI7xv7ZBJ8p_w0xy9fg""",29,NULL,drink
"""1KyCyWZoKvv2V486PuzIZQ""",30,Bar area,inside
"""IoCRWCYg27nrjz2XmHGqEA""",31,NULL,food
"""SZ3NDrbN8IyamXlSQkV35g""",32,NULL,food
"""tjpK9aW9NiU8yLCUOwAdbQ""",33,NULL,food
"""hHIhrGGv6eBW1CyfuXq6_Q""",34,Baklava,food
"""4IiMykKoTykwt-5oc61Cyg""",35,"5.99 for the 8"" grilled pork banh mi. Yum.",food
"""mcCF9PrtKKf0N38RiQrZQQ""",36,Calamari,food
"""kuu99WGEDswcF9W5wBCfjg""",37,NULL,inside
"""v5ayAqMTrggvotQ73-KNYQ""",38,NULL,food
"""RsFf9wlW47mF6PmPYDuWXg""",39,Chicken wings and fries,food
"""iyUqboJlTfPacE2ks5bQkA""",40,Kung Pao Chicken and Grilled Teriyaki Chicken Plate,food
"""AhkWscQnBzcMvRl7VstFzA""",41,Guests visiting AVO TACO will enjoy an abundance of fresh food that includes specialty burgers and more!,food
"""Iehiw_bcHnXw-pg0w2M06w""",42,"New Keto Protein Punch! 15g protein, 3g of carbs , and you can add 1-2 energy shots to it!",drink
"""xYqXYXyN1riS74foNC0t0Q""",43,NULL,food
"""SfgGeFBv6iTZORfd57SiSQ""",44,Shrimp Platter,food
"""8e8Mf-wZikE49NBjpJ6ydw""",45,Crispy noodle with chicken,food
"""tJ9JpJRo0wohUmPmxO4e1w""",46,NULL,food
"""cyzJVw9Xx5akGxmCqHlecw""",47,O Sole Mio,drink
"""gmh02gEt7uX5C5g2-NahJg""",48,Coffee  and food area,inside
"""rfrFsu-NvTiuB72EAO1NUQ""",49,NULL,inside
"""2Q4saf93GeypoRTpqVMQkA""",50,Inside restaurant.,inside
"""LFy4nNmCd8YdhHNJext6-Q""",51,NULL,food
"""3sRExEDiHMw_D8ZgUWxG0Q""",52,Satchmo Sandwich - fried shrimp and hot sauce combo went well together on this sandwich,food
"""XBaJwVJVEt5D3Q6uGWEMAQ""",53,"Alfano's Restaurant, Clearwater, FL - October 29, 2018",inside
"""PjHN7jZsFz1XzZagvExKWA""",54,NULL,food
"""hbAxiOlgNAucyHH0v4_B_g""",55,NULL,food
"""2yRnSdinaARnq5_GbBz2uQ""",56,So much good,inside
"""jRCPOPPwMCurD7RcfkYZ2g""",57,NULL,food
"""GFmkCThOCIwEvhGszF-ctw""",58,NULL,outside
"""zz-ed2-z-gOnmcHX9bPV3w""",59,NULL,inside
"""ewvxIzW-RRLjvHGj36O98g""",60,Crispy Thai Shrimp,food
"""ya7TOYAuJNEwv1n5_qfyBA""",61,"Pulled pork/pulled chicken, baked Mac & Cheese, Beans, cheesy spinach, rolls, and a sweet tea",food
"""8w8GwxhyKu9DEFuGYeDQNA""",62,Kobe Breeze and Kobe Trio,food
"""QHkcpEUO72VYMJ8P5449GA""",63,NULL,outside
"""AiYp7_QSILeBIRCsLZ_ycw""",64,Camerón Albañil,food
"""ohHyTI81NGTpIHCBWDpFTA""",65,NULL,inside
"""eSzcqDhT0QNQ46Lk5Cw1FA""",66,NULL,food
"""tWCR7XsayVoHAi6dT5qZYw""",67,NULL,food
"""nx1P1VgiLoTzxrLv7hnYhA""",68,NULL,food
"""0mFo_YEGc_9b2YruhQ7Ucg""",69,NULL,inside
"""TzxhwK7YuVMVyu-p3QKPKA""",70,NULL,food
"""t2IK1900CdofOgKUzE07Dg""",71,Display cabinet,inside
"""Ws7l1vvwfVOUiMy2dZP-ow""",72,Courtyard area,outside
"""ZBzCS8DIv_DZVCRDyeDScA""",73,Our signature Pearl Milk Tea!,drink
"""pVAEW_x4AUtByc9OhctqeA""",74,NULL,food
"""CfJlbbYbivfhYSHreHqkXA""",75,Toys for Tots fundraiser even - 2017,inside
"""VSAx-DAAtIuWTAbldMQH_w""",76,NULL,food
"""2930C9zsK9UY429HCbEoBw""",77,(photographed by Dave Hong),inside
"""LplMlDOwOKVhB2X2dLlE_Q""",78,The raw seafood bar with the wine cellar in the background,inside
"""EQuh50mS-uhLqeX4IKykpg""",79,NULL,food
"""q9fvkj7rIOvLVcX29AxIEw""",80,NULL,inside
"""2zzoTlZsLka7MokP77MdUg""",81,NULL,outside
"""sShzaw91I6kh7RLWzOrPQA""",82,Pizza@ Tyrone Square,inside
"""ZqXfKLxc3CZIKfXNtRgE4A""",83,NULL,food
"""GbUXngdD6_4h9AhfRjsvSA""",84,the place settings,inside
"""UKiGzYYPICi8BIOD2cVvnA""",85,Dining area,inside
"""fDnyd1B_bMpIMW2eNiODnQ""",86,NULL,food
"""iO4Rb8Mmg48zi5-253o5QQ""",87,the interior,inside
"""CjhKGdUXzopAjj09RmbyyA""",88,NULL,food
"""dQlBDoOEiNbyXAS9mUGsIg""",89,Cheesy tots,food
"""Cx4jnvG70I-C6ghcdfssfQ""",90,NULL,inside
"""z4ACIIbmna96RvkRTRPvZA""",91,NULL,inside
"""g5HOhKvxgfJYHlwfc2_fsQ""",92,NULL,food
"""NuLoAlxvsskjkrieQ_MhpQ""",93,These two guys were the best and they made our dinner experience so much more fun! We truly had a fantastic dinner!!,outside
"""0Sm8GZGMrKcadvhdQuZ4LA""",94,NULL,drink
"""c0KtDehhGCPZHMMnctbQpw""",95,NULL,food
"""LQ-i428Tq64h3L1jc2OoDg""",96,NULL,inside
"""Hjy_u7BaXPAcA5ltFPL8yA""",97,NULL,food
"""Vpr1Tu0Vh8pFzf5tD4AQFg""",98,NULL,food
"""_1fqxF5C0e5YHk5-CRc8cg""",99,NULL,inside
"""1IDotZQHB66gvUSEWpVL8g""",100,NULL,food
"""5QwpcfuvxbCocdcmDB35Wg""",101,NULL,inside
"""hWBxGYH2Zd5gDA3OKSy5MA""",102,NULL,food
"""EIDNlVcAD_Smvje12-qtCA""",103,NULL,inside
